,group_id,context,groups
89,89,"If center is True, then there will be padding e.g.'constant','reflect', etc.
Left padding can be trimmed off exactly because they can be calculated but right padding cannot be
calculated without additional information. Example: Suppose the last window is:[17,18,0,0,0]vs[18,0,0,0,0] ","[745, 746, 747, 748]"
90,90,"If keepdim is True, the output tensors are of the same size asinputexcept in the dimension dimwhere they are of size 1.
Otherwise,dimis squeezed (seetorch.squeeze()), resulting
in the output tensors having 1 fewer dimension than input. Note This function is not defined for torch.cuda.Tensoryet. input(Tensor) – the input tensor. dim(int) – the dimension to reduce. keepdim(bool) – whether the output tensor hasdimretained or not. out(tuple,optional) – the result tuple of two output tensors (values, indices) ","[453, 458, 462, 463]"
91,91,"If window_length=1=1=1, the returned window contains a single value 1. window_length(int) – the size of returned window periodic(bool,optional) – If True, returns a window to be used as periodic
function. If False, return a symmetric window. dtype(torch.dtype, optional) – the desired data type of returned tensor.
Default: if None, uses a global default (seetorch.set_default_tensor_type()). Only floating point types are supported. ",[53]
92,92,"Ifbatch1is a(b×n×m)(b \times n \times m)(b×n×m)tensor,batch2is a(b×m×p)(b \times m \times p)(b×m×p)tensor,inputmust bebroadcastablewith a(n×p)(n \times p)(n×p)tensor
andoutwill be a(n×p)(n \times p)(n×p)tensor. Ifbetais 0, theninputwill be ignored, andnanandinfin
it will not be propagated. For inputs of typeFloatTensororDoubleTensor, argumentsbetaandalphamust be real numbers, otherwise they should be integers. This operator supportsTensorFloat32. ","[964, 965]"
93,93,"Ifbetais 0, theninputwill be ignored, andnanandinfin
it will not be propagated. For inputs of typeFloatTensororDoubleTensor, argumentsbetaandalphamust be real numbers, otherwise they should be integers. This operator supportsTensorFloat32. batch1(Tensor) – the first batch of matrices to be multiplied batch2(Tensor) – the second batch of matrices to be multiplied beta(Number,optional) – multiplier for input(β\betaβ) input(Tensor) – matrix to be added ","[968, 969]"
94,94,"Ifhermitian= True,Ais assumed to be Hermitian if complex or
symmetric if real, but this is not checked internally. Instead, just the lower
triangular part of the matrix is used in the computations. The singular values (or the norm of the eigenvalues whenhermitian= True)
that are below the specifiedrcondthreshold are treated as zero and discarded in the computation. Note ","[984, 988]"
95,95,"Ifhermitian= True,Ais assumed to be Hermitian if complex or
symmetric if real, but this is not checked internally. Instead, just the lower
triangular part of the matrix is used in the computations. The singular values (or the norm of the eigenvalues whenhermitian= True)
that are below the specifiedrcondthreshold are treated as zero and discarded in the computation. Note This function usestorch.linalg.svd()ifhermitian= Falseandtorch.linalg.eigh()ifhermitian= True.
For CUDA inputs, this function synchronizes that device with the CPU. Note Consider usingtorch.linalg.lstsq()if possible for multiplying a matrix on the left by
the the pseudoinverse, as: It is always prefered to uselstsq()when possible, as it is faster and more
numerically stable than computing the pseudoinverse explicitly. Warning ","[980, 987, 989, 990, 992]"
96,96,"Ifwindow_length=1=1=1, the returned window contains a single value 1. window_length(int) – the size of returned window periodic(bool,optional) – If True, returns a window to be used as periodic
function. If False, return a symmetric window. dtype(torch.dtype, optional) – the desired data type of returned tensor.
Default: if None, uses a global default (seetorch.set_default_tensor_type()). Only floating point types are supported. layout(torch.layout, optional) – the desired layout of returned window tensor. Only torch.strided(dense layout) is supported. device(torch.device, optional) – the desired device of returned tensor.
Default: if None, uses the current device for the default tensor type
(seetorch.set_default_tensor_type()).devicewill be the CPU
for CPU tensor types and the current CUDA device for CUDA tensor types. requires_grad(bool,optional) – If autograd should record operations on the
returned tensor. Default:False. A 1-D tensor of size (	ext{window_length},)(window_length,) containing the window",[51]
97,97,"Important consideration in the parameterswindowandcenterso that the envelop
created by the summation of all the windows is never zero at certain point in time. Specifically,∑t=−∞∞∣w∣2[n−t×hop_length]=0\sum_{t=-\infty}^{\infty} |w|^2[n-t\times hop\_length] \cancel{=} 0∑t=−∞∞​∣w∣2[n−t×hop_length]=​0. Since stft()discards elements at the end of the signal if they do not fit in a frame,istftmay return a shorter signal than the original signal (can occur ifcenteris False
since the signal isn’t padded). ","[734, 735, 736, 738, 739]"
98,98,"Important consideration in the parameterswindowandcenterso that the envelop
created by the summation of all the windows is never zero at certain point in time. Specifically,∑t=−∞∞∣w∣2[n−t×hop_length]=0\sum_{t=-\infty}^{\infty} |w|^2[n-t\times hop\_length] \cancel{=} 0∑t=−∞∞​∣w∣2[n−t×hop_length]=​0. Since stft()discards elements at the end of the signal if they do not fit in a frame,istftmay return a shorter signal than the original signal (can occur ifcenteris False
since the signal isn’t padded). If center is True, then there will be padding e.g.'constant','reflect', etc.
Left padding can be trimmed off exactly because they can be calculated but right padding cannot be
calculated without additional information. Example: Suppose the last window is:[17,18,0,0,0]vs[18,0,0,0,0] ","[737, 743, 744]"
99,99,"In many cases either tracing or scripting is an easier approach for converting a model to TorchScript.
Tracing and scripting can be composed to suit the particular requirements
of a part of a model. Scripted functions can call traced functions. This is particularly useful when you need
to use control-flow around a simple feed-forward model. For instance the beam search
of a sequence to sequence model will typically be written in script but can call an
encoder module generated using tracing. Example (calling a traced function in script): Traced functions can call script functions. This is useful when a small part of
a model requires some control-flow even though most of the model is just a feed-forward
network. Control-flow inside of a script function called by a traced function is
preserved correctly. Example (calling a script function in a traced function): This composition also works fornn.Modules as well, where it can be used to generate
a submodule using tracing that can be called from the methods of a script module. Example (using a traced module): ",[597]
100,100,"Inverse short time Fourier Transform. This is expected to be the inverse of stft().
It has the same parameters (+ additional optional parameter oflength) and it should return the
least squares estimation of the original signal. The algorithm will check using the NOLA condition (
nonzero overlap). ",[543]
101,101,"Inverse short time Fourier Transform. This is expected to be the inverse of stft().
It has the same parameters (+ additional optional parameter oflength) and it should return the
least squares estimation of the original signal. The algorithm will check using the NOLA condition (
nonzero overlap). Important consideration in the parameterswindowandcenterso that the envelop
created by the summation of all the windows is never zero at certain point in time. Specifically,∑t=−∞∞∣w∣2[n−t×hop_length]=0\sum_{t=-\infty}^{\infty} |w|^2[n-t\times hop\_length] \cancel{=} 0∑t=−∞∞​∣w∣2[n−t×hop_length]=​0. Since stft()discards elements at the end of the signal if they do not fit in a frame,istftmay return a shorter signal than the original signal (can occur ifcenteris False
since the signal isn’t padded). If center is True, then there will be padding e.g.'constant','reflect', etc.
Left padding can be trimmed off exactly because they can be calculated but right padding cannot be
calculated without additional information. ","[542, 544, 733]"
102,102,"It has a CUDA counterpart, that enables you to run your tensor computations
on an NVIDIA GPU with compute capability >= 3.0   Returns True if obj is a PyTorch tensor.   Returns True if obj is a PyTorch storage object.   Returns True if the data type of input is a complex data type i.e., one of torch.complex64, andtorch.complex128.   Returns True if the data type of input is a floating point data type i.e., one of torch.float64,torch.float32,torch.float16, andtorch.bfloat16.   ","[808, 809, 810, 812]"
103,103,"Known Issues Appendix Migrating to PyTorch 1.2 Recursive Scripting API References TorchScript is a way to create serializable and optimizable models from PyTorch code.
Any TorchScript program can be saved from a Python
process and loaded in a process where there is no Python dependency. We provide tools to incrementally transition a model from a pure Python program
to a TorchScript program that can be run independently from Python, such as in a standalone C++ program.
This makes it possible to train models in PyTorch using familiar tools in Python and then export
the model via TorchScript to a production environment where Python programs may be disadvantageous
for performance and multi-threading reasons. For a gentle introduction to TorchScript, see theIntroduction to TorchScripttutorial. For an end-to-end example of converting a PyTorch model to TorchScript and running it in C++, see theLoading a PyTorch Model in C++tutorial.   Scripting a function ornn.Modulewill inspect the source code, compile it as TorchScript code using the TorchScript compiler, and return aScriptModuleorScriptFunction.   Trace a function and return an executable  orScriptFunctionthat will be optimized using just-in-time compilation.   Compilesfnwhen it is first called during tracing.   Trace a module and return an executableScriptModulethat will be optimized using just-in-time compilation.   Creates an asynchronous task executingfuncand a reference to the value of the result of this execution.   Forces completion of atorch.jit.Future[T]asynchronous task, returning the result of the task.   A wrapper around C++torch::jit::Module.   Functionally equivalent to aScriptModule, but represents a single function and does not have any attributes or Parameters.   Freezing aScriptModulewill clone it and attempt to inline the cloned module’s submodules, parameters, and attributes as constants in the TorchScript IR Graph.   Save an offline version of this module for use in a separate process.   ","[551, 565, 566]"
104,104,"Migrating to PyTorch 1.2 Recursive Scripting API References TorchScript is a way to create serializable and optimizable models from PyTorch code.
Any TorchScript program can be saved from a Python
process and loaded in a process where there is no Python dependency. We provide tools to incrementally transition a model from a pure Python program
to a TorchScript program that can be run independently from Python, such as in a standalone C++ program.
This makes it possible to train models in PyTorch using familiar tools in Python and then export
the model via TorchScript to a production environment where Python programs may be disadvantageous
for performance and multi-threading reasons. For a gentle introduction to TorchScript, see theIntroduction to TorchScripttutorial. For an end-to-end example of converting a PyTorch model to TorchScript and running it in C++, see theLoading a PyTorch Model in C++tutorial.   Scripting a function ornn.Modulewill inspect the source code, compile it as TorchScript code using the TorchScript compiler, and return aScriptModuleorScriptFunction.   Trace a function and return an executable  orScriptFunctionthat will be optimized using just-in-time compilation.   Compilesfnwhen it is first called during tracing.   Trace a module and return an executableScriptModulethat will be optimized using just-in-time compilation.   Creates an asynchronous task executingfuncand a reference to the value of the result of this execution.   Forces completion of atorch.jit.Future[T]asynchronous task, returning the result of the task.   A wrapper around C++torch::jit::Module.   Functionally equivalent to aScriptModule, but represents a single function and does not have any attributes or Parameters.   Freezing aScriptModulewill clone it and attempt to inline the cloned module’s submodules, parameters, and attributes as constants in the TorchScript IR Graph.   Save an offline version of this module for use in a separate process.   Load aScriptModuleorScriptFunctionpreviously saved withtorch.jit.save   ","[569, 570]"
105,105,"Most attribute types can be inferred, sotorch.jit.Attributeis not necessary. For empty container types, annotate their types usingPEP 526-styleclass annotations. Constants can be marked with aFinalclass annotation instead of adding the name of the member to__constants__. Python 3 type hints can be used in place of torch.jit.annotate The@torch.jit.script_methoddecorator Classes that inherit fromtorch.jit.ScriptModule Thetorch.jit.Attributewrapper class The__constants__array Thetorch.jit.annotatefunction Warning The@torch.jit.ignoreannotation’s behavior changes in
PyTorch 1.2. Before PyTorch 1.2 the @ignore decorator was used to make a function
or method callable from code that is exported. To get this functionality back,
use@torch.jit.unused().@torch.jit.ignoreis now equivalent
to@torch.jit.ignore(drop=False). See@torch.jit.ignoreand@torch.jit.unusedfor details. When passed to thetorch.jit.scriptfunction, atorch.nn.Module’s data is
copied to aScriptModuleand the TorchScript compiler compiles the module.
The module’sforwardis compiled by default. Methods called fromforwardare
lazily compiled in the order they are used inforward, as well as any@torch.jit.exportmethods. This decorator indicates that a method on annn.Moduleis used as an entry point into aScriptModuleand should be compiled. forwardimplicitly is assumed to be an entry point, so it does not need this decorator.
Functions and methods called fromforwardare compiled as they are seen
by the compiler, so they do not need this decorator either. Example (using@torch.jit.exporton a method): Functions don’t change much, they can be decorated with@torch.jit.ignoreortorch.jit.unusedif needed. Warning TorchScript class support is experimental. Currently it is best suited
for simple record-like types (think aNamedTuplewith methods
attached). Everything in a user definedTorchScript Classis
exported by default, functions can be decorated with@torch.jit.ignoreif needed. ","[641, 654, 655]"
106,106,"Note This function is not defined for torch.cuda.Tensoryet. input(Tensor) – the input tensor. dim(int) – the dimension to reduce. keepdim(bool) – whether the output tensor hasdimretained or not. out(tuple,optional) – the result tuple of two output tensors (values, indices) Example: ","[465, 466]"
107,107,"Note This function matches the behaviour of NumPy in returning
output of dtypeboolfor all supported dtypes exceptuint8.
Foruint8the dtype of output isuint8itself. Example: For each row of input in the given dimension dim,
returnsTrueif any element in the row evaluate toTrueandFalseotherwise. ","[898, 900, 901, 902]"
108,108,"Note that non-integerstepis subject to floating point rounding errors when
comparing againstend; to avoid inconsistency, we advise adding a small epsilon toendin such cases. start(Number) – the starting value for the set of points. Default:0. end(Number) – the ending value for the set of points step(Number) – the gap between each pair of adjacent points. Default:1. out(Tensor,optional) – the output tensor. dtype(torch.dtype, optional) – the desired data type of returned tensor.
Default: if None, uses a global default (seetorch.set_default_tensor_type()). If dtype is not given, infer the data type from the other input
arguments. If any ofstart,end, orstopare floating-point, thedtypeis inferred to be the default dtype, seeget_default_dtype(). Otherwise, thedtypeis inferred to
betorch.int64. layout(torch.layout, optional) – the desired layout of returned Tensor.
Default:torch.strided. ","[52, 779, 780, 786, 789, 790, 889]"
109,109,"Partitions parameters across distributed data parallel ranks. a list of param_groups(which is a list of dict) where each
element of the list contains the param_groups for a rank. Element 0
corresponds to rank 0, etc. We need all the ranks for the broadcast
insidestep(). Returns the local_state_dict for a given rank. rank(int) – rank to get local_state_dict for state_dict(dict) – globalstate_dict the last known global optimizer state, which consist of a list of
the shards. ","[522, 530, 531, 532]"
110,110,"Performs a batch matrix-matrix product of matrices inbatch1andbatch2.   Performs a batch matrix-matrix product of matrices stored in input and mat2.   Returns the matrix product of the NNN2-D tensors.   Computes the Cholesky decomposition of a symmetric positive-definite matrixAAAor for batches of symmetric positive-definite matrices.   Computes the inverse of a symmetric positive-definite matrixAAAusing its Cholesky factoruuu: returns matrix inv.   Solves a linear system of equations with a positive semidefinite matrix to be inverted given its Cholesky factor matrixuuu.   Computes the dot product of two 1D tensors.   Computes the eigenvalues and eigenvectors of a real square matrix.   This is a low-level function for calling LAPACK’s geqrf directly.   Alias of torch.outer().   Computes the dot product for 1D tensors.   Alias for torch.linalg.inv()   Alias for torch.linalg.det()   Calculates log determinant of a square matrix or batches of square matrices.   Alias for torch.linalg.slogdet()   Computes the solution to the least squares and least norm problems for a full rank matrixAAAof size(m×n)(m \times n)(m×n)and a matrixBBBof size(m×k)(m \times k)(m×k).   Computes the LU factorization of a matrix or batches of matricesA.   Returns the LU solve of the linear systemAx=bAx = bAx=busing the partially pivoted LU factorization of A fromtorch.lu().   Unpacks the data and pivots from a LU factorization of a tensor into tensorsLandUand a permutation tensorPsuch thatLU_data,LU_pivots=(P@L@U).lu().   Matrix product of two tensors.   Alias for torch.linalg.matrix_power()   Returns the numerical rank of a 2-D tensor.   Computes the matrix exponential of a square matrix or of each square matrix in a batch.   Performs a matrix multiplication of the matricesinput and mat2.   Performs a matrix-vector product of the matrix inputand the vectorvec.   Alias for torch.linalg.householder_product().   Computes the matrix-matrix multiplication of a product of Householder matrices with a general matrix.   Outer product of inputandvec2.   ",[360]
111,111,"Performs a batch matrix-matrix product of matrices stored
in batch1 and batch2,
with a reduced add step (all matrix multiplications get accumulated
along the first dimension).input is added to the final result. batch1andbatch2must be 3-D tensors each containing the
same number of matrices. Ifbatch1is a(b×n×m)(b \times n \times m)(b×n×m)tensor,batch2is a(b×m×p)(b \times m \times p)(b×m×p)tensor,inputmust bebroadcastablewith a(n×p)(n \times p)(n×p)tensor
andoutwill be a(n×p)(n \times p)(n×p)tensor. ","[959, 962]"
112,112,"Performs a batch matrix-matrix product of matrices stored
in batch1 and batch2,
with a reduced add step (all matrix multiplications get accumulated
along the first dimension).input is added to the final result. batch1andbatch2must be 3-D tensors each containing the
same number of matrices. Ifbatch1is a(b×n×m)(b \times n \times m)(b×n×m)tensor,batch2is a(b×m×p)(b \times m \times p)(b×m×p)tensor,inputmust bebroadcastablewith a(n×p)(n \times p)(n×p)tensor
andoutwill be a(n×p)(n \times p)(n×p)tensor. Ifbetais 0, theninputwill be ignored, andnanandinfin
it will not be propagated. For inputs of typeFloatTensororDoubleTensor, argumentsbetaandalphamust be real numbers, otherwise they should be integers. This operator supportsTensorFloat32. batch1(Tensor) – the first batch of matrices to be multiplied batch2(Tensor) – the second batch of matrices to be multiplied beta(Number,optional) – multiplier for input(β\betaβ) input(Tensor) – matrix to be added alpha(Number,optional) – multiplier forbatch1 @ batch2(α\alphaα) ","[960, 966]"
113,113,"Performs a batch matrix-matrix product of matrices stored
in batch1 and batch2,
with a reduced add step (all matrix multiplications get accumulated
along the first dimension).input is added to the final result. batch1andbatch2must be 3-D tensors each containing the
same number of matrices. Ifbatch1is a(b×n×m)(b \times n \times m)(b×n×m)tensor,batch2is a(b×m×p)(b \times m \times p)(b×m×p)tensor,inputmust bebroadcastablewith a(n×p)(n \times p)(n×p)tensor
andoutwill be a(n×p)(n \times p)(n×p)tensor. Ifbetais 0, theninputwill be ignored, andnanandinfin
it will not be propagated. For inputs of typeFloatTensororDoubleTensor, argumentsbetaandalphamust be real numbers, otherwise they should be integers. This operator supportsTensorFloat32. batch1(Tensor) – the first batch of matrices to be multiplied batch2(Tensor) – the second batch of matrices to be multiplied beta(Number,optional) – multiplier for input(β\betaβ) input(Tensor) – matrix to be added alpha(Number,optional) – multiplier forbatch1 @ batch2(α\alphaα) out(Tensor,optional) – the output tensor. Example: ","[961, 967, 971]"
114,114,"Performs a batch matrix-matrix product of matrices stored
inbatch1andbatch2,
with a reduced add step (all matrix multiplications get accumulated
along the first dimension).inputis added to the final result. batch1andbatch2must be 3-D tensors each containing the
same number of matrices. Ifbatch1is a(b×n×m)(b \times n \times m)(b×n×m)tensor,batch2is a(b×m×p)(b \times m \times p)(b×m×p)tensor,inputmust bebroadcastablewith a(n×p)(n \times p)(n×p)tensor
andoutwill be a(n×p)(n \times p)(n×p)tensor. Ifbetais 0, theninputwill be ignored, andnanandinfin
it will not be propagated. For inputs of typeFloatTensororDoubleTensor, argumentsbetaandalphamust be real numbers, otherwise they should be integers. This operator supportsTensorFloat32. batch1(Tensor) – the first batch of matrices to be multiplied batch2(Tensor) – the second batch of matrices to be multiplied beta(Number,optional) – multiplier forinput(β\betaβ) input(Tensor) – matrix to be added alpha(Number,optional) – multiplier forbatch1 @ batch2(α\alphaα) out(Tensor,optional) – the output tensor. Example: ","[122, 123]"
115,115,"Performs a batch matrix-matrix product of matrices stored in batch1 and batch2, with a reduced add step (all matrix multiplications get accumulated along the first dimension).   Performs a matrix multiplication of the matrices mat1 and mat2.   Performs a matrix-vector product of the matrixmatand the vectorvec.   Performs the outer-product of vectors vec1 and vec2and adds it to the matrix input.   Performs a batch matrix-matrix product of matrices in batch1 and batch2.   ","[817, 821, 822, 823]"
116,116,"Performs a batch matrix-matrix product of matrices stored in batch1 and batch2, with a reduced add step (all matrix multiplications get accumulated along the first dimension).   Performs a matrix multiplication of the matrices mat1 and mat2.   Performs a matrix-vector product of the matrixmatand the vectorvec.   Performs the outer-product of vectors vec1 and vec2and adds it to the matrix input.   Performs a batch matrix-matrix product of matrices in batch1 and batch2.   Performs a batch matrix-matrix product of matrices stored in input and mat2.   Returns the matrix product of the NNN2-D tensors.   Computes the Cholesky decomposition of a symmetric positive-definite matrixAAAor for batches of symmetric positive-definite matrices.   Computes the inverse of a symmetric positive-definite matrixAAAusing its Cholesky factoruuu: returns matrix inv.   Solves a linear system of equations with a positive semidefinite matrix to be inverted given its Cholesky factor matrixuuu.   Computes the dot product of two 1D tensors.   ","[818, 820, 847]"
117,117,Performs a batch matrix-matrix product of matrices stored in input and mat2.   Returns the matrix product of the NNN2-D tensors.   Computes the Cholesky decomposition of a symmetric positive-definite matrixAAAor for batches of symmetric positive-definite matrices.   Computes the inverse of a symmetric positive-definite matrixAAAusing its Cholesky factoruuu: returns matrix inv.   Solves a linear system of equations with a positive semidefinite matrix to be inverted given its Cholesky factor matrixuuu.   Computes the dot product of two 1D tensors.   Computes the eigenvalues and eigenvectors of a real square matrix.   This is a low-level function for calling LAPACK’s geqrf directly.   Alias of torch.outer().   Computes the dot product for 1D tensors.   Alias for torch.linalg.inv()   Alias for torch.linalg.det()   Calculates log determinant of a square matrix or batches of square matrices.   Alias for torch.linalg.slogdet()   ,"[832, 838, 848, 865, 867, 871, 874]"
118,118,"Performs a batch matrix-matrix product of matrices stored in input and mat2.   Returns the matrix product of the NNN2-D tensors.   Computes the Cholesky decomposition of a symmetric positive-definite matrixAAAor for batches of symmetric positive-definite matrices.   Computes the inverse of a symmetric positive-definite matrixAAAusing its Cholesky factoruuu: returns matrix inv.   Solves a linear system of equations with a positive semidefinite matrix to be inverted given its Cholesky factor matrixuuu.   Computes the dot product of two 1D tensors.   Computes the eigenvalues and eigenvectors of a real square matrix.   This is a low-level function for calling LAPACK’s geqrf directly.   Alias of torch.outer().   Computes the dot product for 1D tensors.   Alias for torch.linalg.inv()   Alias for torch.linalg.det()   Calculates log determinant of a square matrix or batches of square matrices.   Alias for torch.linalg.slogdet()   Computes the solution to the least squares and least norm problems for a full rank matrixAAAof size(m×n)(m \times n)(m×n)and a matrixBBBof size(m×k)(m \times k)(m×k).   Computes the LU factorization of a matrix or batches of matricesA.   Returns the LU solve of the linear systemAx=bAx = bAx=busing the partially pivoted LU factorization of A fromtorch.lu().   Unpacks the data and pivots from a LU factorization of a tensor into tensorsLandUand a permutation tensorPsuch thatLU_data,LU_pivots=(P@L@U).lu().   Matrix product of two tensors.   Alias for torch.linalg.matrix_power()   Returns the numerical rank of a 2-D tensor.   Computes the matrix exponential of a square matrix or of each square matrix in a batch.   Performs a matrix multiplication of the matricesinput and mat2.   Performs a matrix-vector product of the matrix inputand the vectorvec.   Alias for torch.linalg.householder_product().   Computes the matrix-matrix multiplication of a product of Householder matrices with a general matrix.   Outer product of inputandvec2.   Alias for torch.linalg.pinv()   ","[7, 365, 367, 368, 858, 863, 866]"
119,119,"Performs a batch matrix-matrix product of matrices stored inbatch1andbatch2, with a reduced add step (all matrix multiplications get accumulated along the first dimension).   Performs a matrix multiplication of the matrices mat1 and mat2.   Performs a matrix-vector product of the matrixmatand the vectorvec.   Performs the outer-product of vectors vec1 and vec2and adds it to the matrix input.   Performs a batch matrix-matrix product of matrices inbatch1andbatch2.   Performs a batch matrix-matrix product of matrices stored in input and mat2.   Returns the matrix product of the NNN2-D tensors.   Computes the Cholesky decomposition of a symmetric positive-definite matrixAAAor for batches of symmetric positive-definite matrices.   Computes the inverse of a symmetric positive-definite matrixAAAusing its Cholesky factoruuu: returns matrix inv.   Solves a linear system of equations with a positive semidefinite matrix to be inverted given its Cholesky factor matrixuuu.   Computes the dot product of two 1D tensors.   Computes the eigenvalues and eigenvectors of a real square matrix.   This is a low-level function for calling LAPACK’s geqrf directly.   Alias of torch.outer().   Computes the dot product for 1D tensors.   Alias for torch.linalg.inv()   Alias for torch.linalg.det()   Calculates log determinant of a square matrix or batches of square matrices.   Alias for torch.linalg.slogdet()   Computes the solution to the least squares and least norm problems for a full rank matrixAAAof size(m×n)(m \times n)(m×n)and a matrixBBBof size(m×k)(m \times k)(m×k).   Computes the LU factorization of a matrix or batches of matricesA.   Returns the LU solve of the linear systemAx=bAx = bAx=busing the partially pivoted LU factorization of A fromtorch.lu().   Unpacks the data and pivots from a LU factorization of a tensor into tensorsLandUand a permutation tensorPsuch thatLU_data,LU_pivots=(P@L@U).lu().   Matrix product of two tensors.   Alias for torch.linalg.matrix_power()   Returns the numerical rank of a 2-D tensor.   ","[347, 350, 351, 358]"
120,120,Performs a matrix multiplication of the matrices mat1 and mat2.   Performs a matrix-vector product of the matrixmatand the vectorvec.   Performs the outer-product of vectors vec1 and vec2and adds it to the matrix input.   Performs a batch matrix-matrix product of matrices in batch1 and batch2.   Performs a batch matrix-matrix product of matrices stored in input and mat2.   Returns the matrix product of the NNN2-D tensors.   ,[828]
121,121,Performs a matrix multiplication of the matrices mat1 and mat2.   Performs a matrix-vector product of the matrixmatand the vectorvec.   Performs the outer-product of vectors vec1 and vec2and adds it to the matrix input.   Performs a batch matrix-matrix product of matrices in batch1 and batch2.   Performs a batch matrix-matrix product of matrices stored in input and mat2.   Returns the matrix product of the NNN2-D tensors.   Computes the Cholesky decomposition of a symmetric positive-definite matrixAAAor for batches of symmetric positive-definite matrices.   Computes the inverse of a symmetric positive-definite matrixAAAusing its Cholesky factoruuu: returns matrix inv.   Solves a linear system of equations with a positive semidefinite matrix to be inverted given its Cholesky factor matrixuuu.   Computes the dot product of two 1D tensors.   Computes the eigenvalues and eigenvectors of a real square matrix.   This is a low-level function for calling LAPACK’s geqrf directly.   Alias of torch.outer().   ,"[819, 826, 829]"
122,122,"Performs a matrix multiplication of the matrices mat1 and mat2.   Performs a matrix-vector product of the matrixmatand the vectorvec.   Performs the outer-product of vectors vec1 and vec2and adds it to the matrix input.   Performs a batch matrix-matrix product of matrices inbatch1andbatch2.   Performs a batch matrix-matrix product of matrices stored in input and mat2.   Returns the matrix product of the NNN2-D tensors.   Computes the Cholesky decomposition of a symmetric positive-definite matrixAAAor for batches of symmetric positive-definite matrices.   Computes the inverse of a symmetric positive-definite matrixAAAusing its Cholesky factoruuu: returns matrix inv.   Solves a linear system of equations with a positive semidefinite matrix to be inverted given its Cholesky factor matrixuuu.   Computes the dot product of two 1D tensors.   Computes the eigenvalues and eigenvectors of a real square matrix.   This is a low-level function for calling LAPACK’s geqrf directly.   Alias of torch.outer().   Computes the dot product for 1D tensors.   Alias for torch.linalg.inv()   Alias for torch.linalg.det()   Calculates log determinant of a square matrix or batches of square matrices.   Alias for torch.linalg.slogdet()   Computes the solution to the least squares and least norm problems for a full rank matrixAAAof size(m×n)(m \times n)(m×n)and a matrixBBBof size(m×k)(m \times k)(m×k).   Computes the LU factorization of a matrix or batches of matricesA.   Returns the LU solve of the linear systemAx=bAx = bAx=busing the partially pivoted LU factorization of A fromtorch.lu().   Unpacks the data and pivots from a LU factorization of a tensor into tensorsLandUand a permutation tensorPsuch thatLU_data,LU_pivots=(P@L@U).lu().   Matrix product of two tensors.   Alias for torch.linalg.matrix_power()   Returns the numerical rank of a 2-D tensor.   Computes the matrix exponential of a square matrix or of each square matrix in a batch.   Performs a matrix multiplication of the matricesinput and mat2.   ","[348, 359]"
123,123,Performs a matrix-vector product of the matrixmatand the vectorvec.   Performs the outer-product of vectors vec1 and vec2and adds it to the matrix input.   Performs a batch matrix-matrix product of matrices in batch1 and batch2.   Performs a batch matrix-matrix product of matrices stored in input and mat2.   Returns the matrix product of the NNN2-D tensors.   Computes the Cholesky decomposition of a symmetric positive-definite matrixAAAor for batches of symmetric positive-definite matrices.   ,"[827, 830, 831]"
124,124,Performs a matrix-vector product of the matrixmatand the vectorvec.   Performs the outer-product of vectors vec1 and vec2and adds it to the matrix input.   Performs a batch matrix-matrix product of matrices in batch1 and batch2.   Performs a batch matrix-matrix product of matrices stored in input and mat2.   Returns the matrix product of the NNN2-D tensors.   Computes the Cholesky decomposition of a symmetric positive-definite matrixAAAor for batches of symmetric positive-definite matrices.   Computes the inverse of a symmetric positive-definite matrixAAAusing its Cholesky factoruuu: returns matrix inv.   Solves a linear system of equations with a positive semidefinite matrix to be inverted given its Cholesky factor matrixuuu.   Computes the dot product of two 1D tensors.   Computes the eigenvalues and eigenvectors of a real square matrix.   This is a low-level function for calling LAPACK’s geqrf directly.   Alias of torch.outer().   Computes the dot product for 1D tensors.   Alias for torch.linalg.inv()   ,"[824, 825, 839]"
