,question,answer,group_id
5635,What implementation of oftorch.Tensor.index_add_() will throw an error?,CUDA implementation,4496
5636,"If an operation does not act correctly according to the documentation, or if you need what, please submit an issue?",a deterministic implementation of an operation that does not have one,4496
5637,What type of algorithm does torch.use_algorithms?,deterministic,11238
5638,What type of algorithms does torch.use?,deterministic,11238
5639,What documentation does PyTorch use for a full list of affected operations?,fortorch.use_deterministic_algorithms(),11238
5640,What type of algorithms does torch.use_algorithms() let you configure PyTorch to use instead of nondeterministic ones?,deterministic,11238
5641,"If an operation does not act correctly according to the documentation, or if you need a what implementation of an operation that does not have one, please",deterministic,11238
5642,When will the alternative deterministic implementation of bmm() be used?,when the deterministic flag is turned on,11238
5643,What do you need if an operation does not act correctly according to the documentation?,a deterministic implementation of an operation that does not have one,4848
5644,What documentation contains a full list of affected operations?,fortorch.use_deterministic_algorithms(),4848
5645,What implementation oftorch.Tensor.index_add_() is nondeterministic?,CUDA,4848
5646,What is the current version of CUDA?,10.2 or greater,4848
5647,When is the alternate deterministic implementation oftorch.bmm() used?,when the deterministic flag is turned on,2524
5648,"Whentorch.bmm() is called with sparse-dense CUDA tensors, what does it typically use",a nondeterministic algorithm,8402
5649,What is called with sparse-dense CUDA tensors?,Whentorch.bmm(),8402
5650,Whentorch.bmm() is called with what type of CUDA tensors?,sparse-dense,8402
5651,How will other PyTorch operations behave?,deterministically,8402
5652,"Whentorch.bmm() is called with sparse-dense CUDA tensors, it typically uses a",deterministic,8402
5653,If you are using CUDA tensors and your CUDA version is what?,10.2 or greater,2662
5654,When should you set the environment variableCUBLAS_WORKSPACE_CONFIG?,if you are using CUDA tensors,2662
5655,What is the CUDA version of CUDA?,10.2 or greater,2662
5656,What does disabling ensures that CUDA selects the same algorithm each time an application is run?,CUDA convolution benchmarking,8405
5657,What does disabling CUDA convolution benchmarking ensure?,CUDA selects the same algorithm each time an application is run,8405
5658,"What operations will behave deterministically, unless eithertorch.use_deterministic_algorithms() is set?",other PyTorch operations,8405
5659,What is the equivalent to calling.tensor_split?,torch,6047
5660,What is used to split a tensor with three or more dimensions into multiple tensors depthwise?,indices_or_sections,6047
5661,What is the difference between a split and a view ofinput?,ifindices_or_sectionsis an integer it must evenly divide the split dimension,6047
5662,What is the argument for indices_or_sections?,intorch.tensor_split(),6047
5663,What casting rules are described in the type promotiondocumentation?,PyTorch,2119
5664,From(dpython,originaltorch.dtype,2119
5665,To what does dpython,targettorch.dtype,2119
5666,What is an example of a PyTorch casting rule?,Example,2119
5667,What input types does complexA support?,"float, double, cfloat and cdouble dtypes",2508
5668,What type of matrices does complexA support?,batches of matrices,2508
5669,What is the name of the function that computes the sign and natural logarithm of the absolute value of the determinant of a square,Note,1802
5670,What does complexA return?,the angle and the natural logarithm of the modulus of the determinant,1802
5671,What does complexA support?,batches of matrices,1802
5672,What is the name of the feature that supports batches of matrices?,Note,1802
5673,What does torch.linalg.det() compute?,the sign and natural logarithm of the absolute value of the determinant of a square matrix,1802
5674,What types of inputs does this function support?,"float, double, cfloat and cdouble dtypes",1802
5675,What is ignored?,ifNone,1802
5676,What is the default value of the function that computes the sign and logarithm of the absolute value of the determinant of a square,Default,1802
5677,What is the name of the function that computes the sign and logarithm of the absolute value of the determinant of a square matrix,tuple,1802
5678,What does logabsdet always be?,real-valued,1802
5679,What types of inputs does torch.linalg.det() support?,"float, double, cfloat and cdouble dtypes",6122
5680,What does torch.lu() do when inputs are on a CUDA device?,synchronizes that device with the CPU,6122
5681,What is ignored by torch.linalg.det?,ifNone,4419
5682,What is the default value of torch.lu()?,Default,7539
5683,What is ignored by torch.lu()?,ifNone,7539
5684,"What is the tensor of shape(*, n, n)where*is zero or more batch dimensions?",A(Tensor),4398
5685,"Out(tuple,optional) – what?",output tuple of two tensors,4398
5686,Ignored what if a tuple of two tensors is output tuple of two tensor,ifNone,4398
5687,What is the default value for a tuple of two tensors?,Default,4398
5688,"What will always be real-valued, even whenAis complex?",logabsdet,4398
5689,What will have the same dtype asA?,sign,4398
5690,What is an example of a real-valued tuple?,Examples,4398
5691,What is the tensor of sizeendstartstepleftlceil fractextend -,1-D,1951
5692,What type of tensor does anumpy.ndarray return?,a tensor filled with the scalar value0,1951
5693,What does the view of an existingtorch.Tensorinput have?,"specifiedsize,strideandstorage_offset",1951
5694,What is the name of the tensor created from?,anumpy.ndarray,1951
5695,What returns a tensor filled with the scalar value1?,"a tensor filled with the scalar value1, with the same size asinput",1951
5696,What is the same size asinput?,a tensor filled with the scalar value0,1951
5697,What is the shape of a tensor filled with the scalar value1?,the shape defined by the variable argumentsize,1951
5698,In what language are PyTorch models defined?,Python,7966
5699,What language can TorchScript models be defined in?,Python,7966
5700,What is used to construct the input and do preprocessing?,C++ Tensor API,7966
5701,What is the TorchScript C++ API used for?,Loading serialized TorchScript models saved from Python,7966
5702,What does TorchScript allow you to do in production or embedded environments?,no-Python execution,7966
5703,What is one of the ways you can interact with the TorchScript execution engine?,Constructing the input and doing preprocessing using C++ Tensor API,7966
5704,What language are PyTorch models defined in?,Python,7966
5705,What walks through interfacing TorchScript with OpenCV?,TheExtending TorchScript with Custom C++ Operatorstutorial,7952
5706,What is the name of the tensor and autograd operations in PyTorch Python API?,torch,7952
5707,What is the full list of methods available in PyTorch?,https,7952
5708,What can be bound into TorchScript through a pybind11-like interface?,C++ classes and structs,7952
5709,Most of the tensor and autograd operations in PyTorch Python API are also available in what?,C++ API,7952
5710,What can TorchScript be augmented with user-supplied code?,custom operators and custom classes,7952
5711,From what languages can custom operators and classes be invoked in TorchScript code?,Python or from C++,7952
5712,What can TorchScript be augmented with user-supplied code through?,custom operators and custom classes,7952
5713,What does TheExtending TorchScript with Custom C++ Operatorstutorial walk through interfacing TorchScript with?,OpenCV,7952
5714,What is an example of a tensormethod?,torch,7952
5715,Where can you find the full list of methods available in TorchScript?,https,7952
5716,From what languages can custom operators and classes be invoked in TorchScript code run?,Python or from C++,7952
5717,Computes what decomposition of a symmetric positive-definite matrixAAAor for batches of symmetric positive-definite matrices,Cholesky,1669
5718,"IfupperisTrue, the returned matrixUis what?",upper-triangular,1669
5719,What classification will these features be maintained long-term and there should generally be no major performance limitations or gaps in documentation?,Stable,6052
5720,What is the name of the library that contains Thetorchtextpackage?,Package Reference PyTorch Libraries,6052
5721,What is tagged as Beta because the API may change based on user feedback?,Beta,6052
5722,What is the classification of features that will be maintained long-term?,Stable,6052
5723,What is a package reference?,PyTorch Libraries,6052
5724,What library can be a source of nondeterminism across multiple executions of an application?,cuDNN library,7018
5725,What can an optional feature run when a cuDNN convolution is called with a new set of size parameters?,multiple convolution algorithms,7018
5726,"Due to benchmarking noise and different hardware, the benchmark may select what on subsequent runs?",different algorithms,7018
5727,"If you do not need reproducibility across multiple executions of your application, what might improve if the benchmarking feature is enabled?",performance,7018
5728,What is the cuDNN library used for?,CUDA convolution operations,7018
5729,"When a cuDNN convolution is called with a new set of size parameters, what can run multiple convolution algorithms?",an optional feature,7018
5730,Why is benchmarking noise and different hardware important?,"benchmark may select different algorithms on subsequent runs, even on the same machine",7018
5731,What are the parameters for a view of an existingtorch.Tensorinput?,"specifiedsize,strideandstorage_offset",5090
5732,Where is aTensor created from?,anumpy.ndarray,5090
5733,What is the return value of a tensor filled with the scalar value0?,"a tensor filled with the scalar value0, with the same size asinput",5090
5734,What is the size of the scalar value in the tensor?,the same size asinput,5090
5735,What size is the tensor of sizeendstartstep?,1-D,5441
5736,What is the tensor with ones on the diagonal and zeros elsewhere?,2-D tensor,5441
5737,What is returned when a tensor is filled with uninitialized data?,an uninitialized tensor with the same size asinput,5441
5738,What type of tensor is created when values are evenly spaced fromstarttoend?,one-dimensional,5259
5739,What type of tensor returns ones on the diagonal and zeros elsewhere?,2-D tensor,5253
5740,What is a tensor of sizeendstartstepleftlceil fractextend?,1-D,5253
5741,What is a tensor of sizeendstartstep+1leftlfloor fractextend?,1-D,5253
5742,What type of tensor is returned with ones on the diagonal and zeros elsewhere?,2-D,2018
5743,What returns an uninitialized tensor?,an uninitialized tensor with the same size asinput,2018
5744,What is the tensor of?,sizesizefilled withfill_value,2018
5745,What returns a tensor of sizesizefilled withfill_value?,a tensor with the same size asinputfilled withfill_value,2018
5746,What is returned by dequantizing a quantized Tensor?,fp32 Tensor,2018
5747,What type of tensor is converted to a quantized tensor with given scale and zero point?,float,2018
5748,What type of tensor is created on a logarithmic scale with basebase?,one-dimensional,2018
5749,Where are the values of the one-dimensional tensor of sizesteps evenly spaced?,fromstarttoend,2019
5750,What is the name of the logarithmic scale used to create a one-dimensional tensor of sizesteps?,basebase,2019
5751,What does it do to a given sequence ofseqtensors in a given dimension?,Concatenates the given sequence ofseqtensors in the given dimension,1821
5752,What is the difference between a tensor and a specific number of chunks?,Splits a tensor into a specific number of chunks,1821
5753,What splits a tensor into multiple tensors depthwise according toindices_or_sections?,Splitsinput,6025
5754,What is the new tensor that returns a new tensor that is a narrowed version ofinputtensor,narrowed version,6025
5755,What does it do when a tensor is split into chunks?,Gathers values along an axis specified bydim,6025
5756,What is a splitsinput?,"a tensor with one or more dimensions, into multiple tensors horizontally according toindices_or_sections",6025
5757,What is Splitsinput?,"a tensor with one or more dimensions, into multiple tensors horizontally according toindices_or_sections",6025
5758,How does a tensor create a new tensor?,horizontally stacking,6025
5759,What does a tensor have?,Splits a tensor into a specific number of chunks,6025
5760,How is a new tensor created?,horizontally stacking the tensors intensors,2006
5761,What is the index of a new tensor that indexes theinputtensor along dimensiondimusing the entries inindex,aLongTensor,2006
5762,"What is a tensor with one or more dimensions, into multiple tensors horizontally according toindices_or_section",Splitsinput,6048
5763,How does Alias oftorch create a new tensor?,horizontally stacking,6048
5764,What type of tensor is returned by Alias fortorch.movedim()?,narrowed version,6048
5765,What is a tensor with three or more dimensions?,Splitsinput,6048
5766,How does Splitsinput create a new tensor?,horizontally stacking,6048
5767,What happens to the dimension(s) ofinput?,Moves the dimension(s) ofinputat the position(s) insourceto the position(s) indestination,2675
5768,What is the name of a tensor that splits a tensor into chunks?,Stack,2675
5769,What is the Out-of-place version oftorch.Tensor.scatter_()?,Out-of-place version oftorch.Tensor.scatter_(),5473
5770,What are all of the sub-tensors of a tensor?,views ofinput,5473
5771,What is the name of the function that converts a tensor into a new dimension?,Alias fortorch.transpose(),5473
5772,What are the dimensions of the tensor?,0 and 1,5473
5773,What does return a tensor with the elements ofinputat the given indices?,a new tensor with the elements ofinputat the given indices,5473
5774,Returns a tensor that is what version of input?,transposed,5473
5775,What happens when a tensor dimension is removed?,Removes a tensor dimension,5473
5776,What is a tensor with all the dimensions ofinput?,size1removed,5473
5777,What is the name of the tensor that returns a tensor with the same data and number of elements asinput?,Alias oftorch.vstack(),5473
5778,Where do tensors stack depthwise?,third axis,6062
5779,Splits the tensor into what?,chunks,6062
5780,What does Stack tensors in sequence depthwise?,Gathers values along an axis specified bydim,6062
5781,What does Stack tensors in sequence depthwise mean?,third axis,6062
5782,How do Stack tensors in sequence?,horizontally,6062
5783,What is another name for tensors in sequence horizontally?,Stack,6046
5784,What does the Alias fortorch.transpose() do?,Concatenates a sequence of tensors along a new dimension,6046
5785,What is a new tensor that indexes theinputtensor along dimensiondimusing the entries inindex?,aLongTensor,6046
5786,What is the index of the new tensor?,aLongTensor,5356
5787,What is the function that returns a sequence of tensors along a new dimension?,Concatenates a sequence of tensors along a new dimension,5356
5788,What does the aBoolTensor do?,Moves the dimension(s) ofinputat the position(s) insourceto the position(s) indestination,5333
5789,What dimensions does the Alias fortorch.transpose() transpose?,0 and 1,5333
5790,What moves the dimension(s) ofinputat the position(s) insourceto the position(s) indestination?,Moves the dimension(s) ofinputat the position(s) insourceto the position(s) indestination,5333
5791,What is a new tensor that indexes theinputtensor according to the boolean maskmask?,1-D,5333
5792,What is the name of the tensor that indexes theinputtensor according to the boolean maskmask?,Alias oftorch.vstack(),5333
5793,What does return a new tensor with the elements ofinputat the given indices?,a new tensor with the elements ofinputat the given indices,1056
5794,What type of indices are used to select values from?,1-dimensional indices,1056
5795,What type of version ofinputtensor is Alias fortorch.movedim()?,narrowed,1056
5796,What does Alias fortorch.movedim() have?,the specified shape,1056
5797,What type of indices are selected?,1-dimensional indices,4275
5798,What does a tensor have with the same data and number of elements asinput?,the specified shape,4275
5799,What is returned whose mean and standard deviation are given?,a tensor of random numbers drawn from separate normal distributions,5576
5800,Returns a tensor filled with random integers generated how?,uniformly,5857
5801,What does the random number generator do?,Draws binary random numbers (0 or 1) from a Bernoulli distribution,5857
5802,What is the name of the state that draws binary random numbers from a Bernoulli distribution?,Sets the random number generator state,5857
5803,What is the function that returns a tensor where each row containsnum_samplesindices sampled from the multinomi,Draws binary random numbers (0 or 1) from a Bernoulli distribution,2212
5804,What type of tensor is generated uniformly betweenlow(inclusive) andhigh(exclusive)?,tensor filled with random integers,2212
5805,What is a tensor where each row containsnum_samplesindices sampled from the multinomial probability distribution located,Draws binary random numbers (0 or 1) from a Bernoulli distribution,2212
5806,What is a tensor with the same size asinput?,a tensor filled with random integers generated uniformly betweenlow(inclusive) andhigh(exclusive),5466
5807,What is returned when a tensor is filled with random integers?,a tensor filled with random integers generated uniformly betweenlow(inclusive) andhigh(exclusive),5457
5808,Returns a tensor with the same size asinputthat is filled with random numbers from a normal distribution with what?,mean 0 and variance 1.,5457
5809,What returns a tensor with the same size asinput?,random permutation of integers from0ton-1,5457
5810,What is a random permutation of integers from0ton-1?,mean 0 and variance 1.,5457
5811,What type of distribution is a tensor filled with random numbers from?,uniform distribution,5494
5812,What is the normal distribution of a tensor with the same size as input?,mean 0 and variance 1.,5494
5813,What is returned when a tensor is filled with random numbers from a normal distribution?,random permutation of integers from0ton-1,5494
5814,What are a few more in-place random sampling functions defined on?,Tensors,5478
5815,What is the name of the function that returns a tensor with the same size as input?,in-place version oftorch.normal(),5478
5816,What are some in-place random sampling functions defined on?,Tensors,5418
5817,What type of element is drawn from the geometric distribution?,geometric,5418
5818,What is returned by a tensor with the same size as input?,random permutation of integers from0ton-1,5423
5819,What does Alias fortorch.acosh() multiply the result by?,scalarvalue,5392
5820,What type of tensor does Alias fortorch.acosh() return?,inverse hyperbolic cosine,5392
5821,What is the inverse hyperbolic cosine of the elements of input?,arcsine,5392
5822,What does a new tensor have?,arcsine,5392
5823,Who returns a new tensor with the inverse hyperbolic cosine of the elements ofinput?,Alias fortorch.acosh(),5392
5824,What does Alias fortorch.asin() return?,inverse hyperbolic sine,4832
5825,What is the bitwise of the given input tensor?,XOR ofinputandother,4832
5826,In what unit is the element-wise angle of the given inputtensor?,radians,4832
5827,What does it do to the bitwise NOT of the given input tensor?,Computes the bitwise AND ofinputandother,4832
5828,What Computes the inverse cosine of each element ininput?,Alias fortorch.abs(),1041
5829,What does the element-wise multiplication oftensor1bytensor2 multiply the result by?,scalarvalue,1041
5830,What does Alias fortorch.acosh do?,Adds the scalarotherto each element of the inputinputand returns a new resulting tensor,1774
5831,What does Alias fortorch.acos() compute?,inverse cosine,1774
5832,What does Alias fortorch.acos() multiply the result by?,scalarvalue,1043
5833,Computes the element-wise angle of the given inputtensor in what units?,radians,4823
5834,What does the element-wise division oftensor1bytensor2 multiply the result by?,scalarvalue,4823
5835,What does Alias fortorch.asin() have?,inverse hyperbolic sine,4823
5836,What does Alias fortorch.atan() do?,Computes the bitwise AND ofinputandother,5400
5837,What does Alias fortorch.atan() compute?,bitwise OR ofinputandother,5400
5838,What is the inverse hyperbolic sine of elements ofinput?,arctangent,5400
5839,What is the name of the tensor that returns a new tensor with the inverse hyperbolic sine of the elements of,Alias fortorch.atanh(),5400
5840,What is the element-wise angle of inputi/otheri?,arctangent,1740
5841,What type of tensor does Alias fortorch.clamp() compute?,bitwise NOT,1740
5842,What is the bitwise of inputandother?,XOR,1740
5843,What is the element-wise angle of the giveninputtensor?,radians,1740
5844,What is the element-wise angle of the elements ofinput?,arcsine,1740
5845,What does Alias fortorch.atan() have?,arctangent,1740
5846,What type of tangent does Alias fortorch.atan() return?,hyperbolic,5376
5847,What does Alias fortorch.asin() do?,Computes the bitwise AND ofinputandother,5376
5848,What does Alias fortorch.asin() compute?,bitwise OR ofinputandother,5376
5849,What is the name of the element ofinput that returns a new tensor?,arcsine,5376
5850,What is the bitwise ofinputandother?,XOR,1048
5851,What is the element-wise ofinputi/otheri?,arctangent,1048
5852,What does Alias fortorch.asinh() compute?,bitwise OR ofinputandother,1048
5853,What is the name of the new tensor with the inverse hyperbolic tangent of the elements ofinput?,Alias fortorch.atanh,1048
5854,What is the tangent of elements ofinput?,hyperbolic,1048
5855,What is returned when the input tensor is tested toTrue?,the minimum value of each slice of theinputtensor in the given dimension(s)dim,5553
5856,What does the log of summed exponentials of each row of theinputtensor return?,the mean value of all elements in theinputtensor,5553
5857,What does return the mean value of all elements in theinputtensor?,the median of the values ininput,5553
5858,What is the minimum value of each slice of theinputtensor in the given dimension(s)dim?,the flattened tensor or along a dimension,5553
5859,What does return the maximum value of all elements in theinputtensor?,the minimum value of all elements in theinputtensor,5616
5860,Returns what of all elements in the inputtensor?,product,5616
5861,What is the return of the maximum value of each slice of theinputtensor in the given dimension(s)dim?,the minimum value of each slice of theinputtensor in the given dimension(s)dim,5616
5862,Returns the log of summed exponentials of each row of theinputtensor in the given dimensiondim. Returns what?,p-norm,6767
5863,What does return ignoringNaNvalues?,the median of the values ininput,6767
5864,What quantiles of each row of theinputtensor along the dimensiondim is computed?,q-th,6767
5865,What is returned when calculating the p-norm of (input-other)?,the mean value of all elements in theinputtensor,6767
5866,What is returned when the log of summed exponentials of each row of theinputtensor is returned?,the mean value of all elements in theinputtensor,5590
5867,What is the return of the log of summed exponentials of each row of theinputtensor in the given dimensiondim?,the mean value of all elements in theinputtensor,5590
5868,Returns the mode value of each row of theinputtensor in the given dimensiondim?,matrix norm or vector norm,5646
5869,What is returned when the log of summed exponentials of each row of theinputtensor in the given dimensiondim is returned?,the mean value of all elements in theinputtensor,5646
5870,What is returned when the sum of all elements is returned?,the product of all elements in theinputtensor,5634
5871,Whose correction will be used to calculate the standard deviation if unbiasedisTrue?,Bessel,5634
5872,What does not returnNaNvalues?,the median of the values ininput,5634
5873,What is the name of a value in a given dimensiondim?,a namedtuple,5634
5874,What is the return of the values ininput?,median,5634
5875,What is returned when the input tensor is not used?,the median of the values ininput,10871
5876,"What does this return, ignoringNaNvalues?",the median of the values ininput,10871
5877,What is returned when calculating the q-th quantiles of each row of theinputtensor along the dimensiondim?,the product of all elements in theinputtensor,5620
5878,What does the function ignoreNaNvalues?,the median of the values ininput,5620
5879,What is the mean value of all elements in theinputtensor?,median,5620
5880,What does the variant of oftorch.quantile() do?,ignores,5632
5881,What will be used to calculate the standard deviation if unbiasedisTrue?,Bessel’s correction,5632
5882,What does Bessel's correction do?,Eliminates all but the first element from every consecutive group of equivalent elements,5632
5883,When is Bessel's correction applied,If unbiased is True,5632
5884,What does ignoringNaNvalues mean?,the median of the values ininput,5632
5885,What does theinputtensor return?,the product of all elements in theinputtensor,5632
5886,What does a given tensor return?,matrix norm or vector norm,5632
5887,Not a Numbers (NaNs) is treated as what?,zero,5632
5888,What is the quantile of each row of theinputtensor?,q-th,5632
5889,Whose correction will be used if unbiasedisTrue?,Bessel,5637
5890,What does not a Numbers return?,the product of all elements in theinputtensor,5637
5891,What is a variant of oftorch.quantile()?,Computes the q-th quantiles of each row of theinputtensor along the dimensiondim,5656
5892,What is the return of the median of the values ininput?,the mean value of all elements in theinputtensor,5656
5893,What sort a tensor along a given dimension in ascending order by value?,indices,7525
5894,What condition does this function check if each element ofinputis?,infinite,7525
5895,What does this function do if each element ofinputis negative infinity or not?,Tests,7525
5896,What element represents if each element ofinputis “close” to the corresponding element ofother?,boolean elements,1051
5897,What function returns a new tensor with boolean elements if each element ofinputis “close” to the corresponding,Alias fortorch.gt(),1051
5898,What function computes input>othertextinput > textotherinput>otherelement-wise?,Alias fortorch.ge(),1051
5899,What does the new tensor return if each element isfiniteor not?,boolean elements,1051
5900,What does Alias fortorch.le() test if each element ofinputis?,positive infinity,1051
5901,What does Alias fortorch.le() do if each element ofinputis negative infinity or not?,Tests,1051
5902,What elements represent if each element ofinputis real-valued or not?,boolean elements,1051
5903,What is returned whenvaluesis thekth smallest element of each row of theinputtensor in the given dimensiondim?,"a namedtuple(values,indices)",1051
5904,What does Alias fortorch.le() do?,Alias fortorch.le(),1051
5905,What represents if each element ofinputis close to the corresponding element ofother?,boolean elements,1051
5906,What is the name of a new tensor with boolean elements representing if each element isfiniteor not?,Alias fortorch.le(),1051
5907,What is a test if each element ofinputis positive or negative infinity?,infinite,1051
5908,What is the test if each element ofinputis infinite or not?,positive infinity,1051
5909,What does a new tensor with boolean elements represent if each element ofinputis negative infinity or not?,Tests,1051
5910,What represents if each element ofinputis NaN or not?,boolean elements,1051
5911,What represents if each element ofinputis real-valued or not?,boolean elements,1051
5912,What is thekth smallest element of each row of theinputtensor in the given dimensiondim?,"a namedtuple(values,indices)",1051
5913,Returns a new tensor with what representation if each element ofinputis NaN or not?,boolean elements,5570
5914,What is the name of the function that computes the indices that sort a tensor along a given dimension?,Alias fortorch.ge(),5570
5915,Is each element ofinput infinite or negative infinity?,infinite,5570
5916,In what order does the indices sort a tensor along a given dimension?,ascending order by value,5570
5917,What does valuesis thekth smallest element of each row of theinputtensor in the given dimensiondim?,"a namedtuple(values,indices)",8010
5918,What is the name of the tensor that has the same size and elements?,Alias fortorch.ge(),8010
5919,What is the name of the tensor that returns a new tensor with boolean elements representing if each element of,Alias fortorch.gt(),8010
5920,Returns what of vectors in dimensiondimofinputandother?,cross product,5521
5921,What is the cross product of elements ofinputin the dimensiondim?,cumulative product,5521
5922,What is computed along the given dimension?,n-th forward difference,5521
5923,What reduces the number of steps required to perform a batch matrix-matrix product of matrices stored inbatch1andb,add step,4781
5924,What does the matrix-vector product of vectorsvec1andvec2 perform?,batch matrix-matrix product of matrices inbatch1andbatch2,4781
5925,What decomposition is computed for batches of symmetric positive-definite matrices?,Cholesky,4781
5926,What does the batch matrix-matrix product of?,matrices stored ininputandmat2,4840
5927,What performs a batch matrix-matrix product of matrices inbatch1 andbatch2?,batch matrix-matrix product of matrices inbatch1andbatch2,4840
5928,What does the function do when it computes the inverse of a symmetric positive-definite matrix?,returns matrixinv,4840
5929,What product is added to the matrixinput?,outer-product of vectorsvec1andvec2,4805
5930,What performs a matrix-vector product of?,matrixmatand the vectorvec,4805
5931,What does it perform?,batch matrix-matrix product of matrices inbatch1andbatch2,4805
5932,What decomposition of a symmetric positive-definite matrix is computed for batches of symmetric positive-definite matrices?,Cholesky,4783
5933,What returns the Cholesky factoruuu?,returns matrixinv,4783
5934,What does the function compute of a real square matrix?,eigenvalues and eigenvectors,1780
5935,What does it compute of a matrix or batches of matricesA?,LU factorization,1780
5936,What returns the LU solve of the linear systemAx=bAx = bAx=busing the partially pivoted?,LU factorization of A fromtorch.lu(),1722
5937,What type of tensor does Alias fortorch.linalg.matrix_power() return?,2-D,1722
5938,What is the dot product of two tensors?,Matrix product of two tensors,1711
5939,What is the name of the function that calculates the dot product of two tensors?,Alias fortorch.linalg.matrix_power(),1711
5940,What classification does PyTorch commit to seeing Beta features through?,Stable classification,7707
5941,What type of feature is tagged as because the API may change based on user feedback?,Beta,2409
5942,What classification do we commit to seeing a feature through for Beta features?,the Stable classification,2409
5943,Prototype features are typically not available as part of binary distributions like what?,PyPI or Conda,2409
5944,Computes the entropy oninput?,elementwise,1759
5945,Is this module in BETA?,New functions are still being added,7756
5946,What is the name of the documentation of each function that may change in future PyTorch releases?,the documentation of each function for details,7756
5947,What is the name of the function that computes the error function of input?,Computes the error function ofinput,7756
5948,What is the exponential function of input?,base two,1701
5949,What is the complementary error function?,complementary error function ofinput,1701
5950,Computes the natural of what of the absolute value of the gamma function oninput?,logarithm,9670
5951,What is an example of a function that computes the base two exponential function of the gamma function oninput?,Computesinput*log1p(other)with the following cases,9670
5952,What function provides greater precision for small values of x?,exp(x) - 1,7556
5953,What should all have the same number of dimensions?,"self,indexandsrc",7691
5954,What happens when indices are not unique?,the gradient will be incorrect,7691
5955,What is the manner described ingather()?,reverse operation,7691
5956,What does indexandsrcdo do?,not broadcast,7691
5957,Does indexandsrcdo broadcast?,not broadcast,2488
5958,What does the PyTorch Timer do when necessary?,synchronize asynchronous CUDA functions,2771
5959,What does Timer do when necessary?,synchronize asynchronous CUDA functions,7854
5960,What does Timer perform?,"warmups, set threadpool, and synchronize asynchronous CUDA functions when
necessary.",7854
5961,What can one do when defining a Timer?,"optionally specify label,sub_label,description, andenv",8356
5962,What are the fields included in the representation of result object and by theCompareclass to group and display results for comparison?,These fields are included in the representation of result object and by theCompareclass to group and display results for comparison,8356
5963,Optional setup code. Used to define variables used instmt what?,global_setup,8356
5964,String which summarizes stmt.,label,8356
5965,What is sub_label?,Provide supplemental information,8356
5966,What is a String to distinguish measurements with identical label and sub_label?,description,8356
5967,What would one set description based on to create a column of data?,input size,8356
5968,Timer can run a statement under what?,Callgrind,2772
5969,What is the name of the optional setup code used to define variables?,in stmt global_setup,2772
5970,What is the PyTorch Timer based on?,timeit.Timer,2772
5971,What is median computation?,more robust than mean,2772
5972,What is replicated for cases where an adaptive strategy is not desired?,The timeit method,2772
5973,Helper class for measuring what of PyTorch statements.,execution time,2772
5974,What fields are included in the representation of result object and by theCompareclass?,These fields are included in the representation of result object and by theCompareclass,2772
5975,What are some examples of PyTorch Timer constructor arguments?,"stmt,setup,timer,globals",2772
5976,Setup– what is used to define variables used instmt global_setup?,Optional setup code,2772
5977,What fields are included in the representation of result object and by theCompareclass to group and display results for comparison?,"optionally specifylabel,sub_label,description, and env",8355
5978,What is used to group and display results for comparison?,theCompareclass,8355
5979,What are the fields included in the representation of result object and by theCompareclass for comparison?,"specify label, sub_label, description, and env.",8354
5980,What is a Timer specific constructor?,PyTorch,8354
5981,What is setup?,Optional setup code,2492
5982,What are the PyTorch Timer specific constructor arguments?,"label,sub_label,description,env,num_threads",2492
5983,What language is global_setup only used in?,C++,2492
5984,What type of timer returns the current time?,Callable,2492
5985,What is a significant confounding factor when measuring code?,run-to-run variation,2492
5986,What does the PyTorch Timer deviate from?,thetimeitAPI,2492
5987,Where are exact algorithms discussed?,method docstrings,2492
5988,The timeit method is replicated for cases where what is not desired?,adaptive strategy,2492
5989,In what language is global_setup only used?,C++,2142
5990,What is the name of the timer constructor arguments?,stmt,2142
5991,What is used to define variables?,in stmt global_setup,2142
5992,"In addition to wall times, Timer can run a statement under what?",Callgrind,3697
5993,What is the optional setup code used to define variables?,instmt global_setup,3697
5994,What is the name of the PyTorch Timer specific constructor arguments?,stmt,10765
5995,"What specific constructor arguments do labels,sub_label,description,env,num_threads, and num_thread",PyTorch Timer,4948
5996,What is the name of the specific constructor arguments?,PyTorch Timer,4948
5997,What is placed at the top level of the file for things like#includestatements?,global_setup,9474
5998,"If PyTorch was built without GPU present, what would it do?",synchronize CUDA,9474
5999,Timer– Callable which returns what?,current time,9474
6000,What is the name of the document that describes PyTorch?,description,9474
6001,What type of setup code is used to define variables used instmt global_setup?,Optional setup code,4950
6002,What is the code snippet to be run in a loop and timed?,stmt,4950
6003,What does timer return?,current time,4950
6004,If PyTorch was built without what?,CUDA,4950
6005,What is globals the other method for?,providing variables which stmt needs,4950
6006,What does sub_label provide to disambiguate measurements with identical stmt or label?,supplemental information,4950
6007,What is an example of a sub_label?,float,4950
6008,What tag indicates that otherwise identical tasks were run in different environments?,env,4950
6009,What string summarizes stmt?,label,4950
6010,"Why would one set label to ""ReLU(x + 1)""?",improve readability,4950
6011,What is a way to create a table of the form?,usingCompare,4950
6012,What is the other method for providing variables whichstmtneeds?,globals,4950
6013,When is description included in PyTorch?,when printing a Measurement,4950
6014,What is the optional setup code used to define variables used in PyTorch?,instmt global_setup,4950
